source_id,status,official_url,direct_pdf_url,expected_pdf_filename,codex_action,as_researched_on
CISA-CPG,OFFICIAL_WEB_SOURCE,https://www.cisa.gov/cybersecurity-performance-goals,,,create_official_web_source_companion,2026-07-18
CISA-IR-PLAYBOOKS,OFFICIAL_WEB_SOURCE,https://www.cisa.gov/news-events/news/federal-government-cybersecurity-incident-and-vulnerability-response-playbooks,,,create_official_web_source_companion,2026-07-18
CISA-KEV,OFFICIAL_WEB_SOURCE,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,,,create_official_web_source_companion,2026-07-18
CISA-RANSOMWARE-GUIDE,OFFICIAL_WEB_SOURCE,https://www.cisa.gov/stopransomware/ransomware-guide,,,create_official_web_source_companion,2026-07-18
CISA-SECURE-BY-DESIGN,OFFICIAL_WEB_SOURCE,https://www.cisa.gov/securebydesign,,,create_official_web_source_companion,2026-07-18
CISA-ZTMM-2,OFFICIAL_PDF_DOWNLOAD_READY,https://www.cisa.gov/resources-tools/resources/zero-trust-maturity-model,https://www.cisa.gov/sites/default/files/2023-04/zero_trust_maturity_model_v2_508.pdf,CISA-ZTMM-2.pdf,download_then_index_official_pdf,2026-07-18
ECFR-45-CFR-164,OFFICIAL_WEB_SOURCE,https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-C/part-164,,,create_official_web_source_companion,2026-07-18
FIPS-199,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.FIPS.199,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.199.pdf,FIPS-199.pdf,download_then_index_official_pdf,2026-07-18
FIPS-200,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.FIPS.200,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.200.pdf,FIPS-200.pdf,download_then_index_official_pdf,2026-07-18
FTC-SAFEGUARDS-RULE,OFFICIAL_WEB_SOURCE,https://www.ecfr.gov/current/title-16/chapter-I/subchapter-C/part-314,,,create_official_web_source_companion,2026-07-18
HHS-HIPAA-BREACH-RULE,OFFICIAL_WEB_SOURCE,https://www.hhs.gov/hipaa/for-professionals/breach-notification/index.html,,,create_official_web_source_companion,2026-07-18
HHS-HIPAA-PRIVACY-RULE,OFFICIAL_WEB_SOURCE,https://www.hhs.gov/hipaa/for-professionals/privacy/index.html,,,create_official_web_source_companion,2026-07-18
HHS-HIPAA-SECURITY-RULE,OFFICIAL_WEB_SOURCE,https://www.hhs.gov/hipaa/for-professionals/security/index.html,,,create_official_web_source_companion,2026-07-18
ISO-22301,LINK_ONLY_LICENSED,https://www.iso.org/standard/75106.html,,,create_link_only_original_companion,2026-07-18
ISO-27001-2022,LINK_ONLY_LICENSED,https://www.iso.org/standard/27001,,,create_link_only_original_companion,2026-07-18
ISO-27002-2022,LINK_ONLY_LICENSED,https://www.iso.org/standard/75652.html,,,create_link_only_original_companion,2026-07-18
ISO-27701,LINK_ONLY_LICENSED,https://www.iso.org/standard/85819.html,,,create_link_only_original_companion,2026-07-18
ISO-42001,LINK_ONLY_LICENSED,https://www.iso.org/standard/81230.html,,,create_link_only_original_companion,2026-07-18
NIST-AI-100-1,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.AI.100-1,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,NIST-AI-100-1.pdf,download_then_index_official_pdf,2026-07-18
NIST-CSWP-29,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.CSWP.29,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.29.pdf,NIST-CSWP-29.pdf,download_then_index_official_pdf,2026-07-18
NIST-PRIVACY-FRAMEWORK-1,OFFICIAL_WEB_SOURCE,https://www.nist.gov/privacy-framework/privacy-framework,,,create_official_web_source_companion,2026-07-18
NIST-SP-1299,OFFICIAL_WEB_SOURCE,https://doi.org/10.6028/NIST.SP.1299,,,create_official_web_source_companion,2026-07-18
NIST-SP-1302,OFFICIAL_WEB_SOURCE,https://doi.org/10.6028/NIST.SP.1302,,,create_official_web_source_companion,2026-07-18
NIST-SP-1303,OFFICIAL_WEB_SOURCE,https://doi.org/10.6028/NIST.SP.1303,,,create_official_web_source_companion,2026-07-18
NIST-SP-800-161r1-upd1,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-161r1-upd1,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-161r1-upd1.pdf,NIST-SP-800-161r1-upd1.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-171r3,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-171r3,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf,NIST-SP-800-171r3.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-18r1,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-18r1,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-18r1.pdf,NIST-SP-800-18r1.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-30r1,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-30r1,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-30r1.pdf,NIST-SP-800-30r1.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-37r2,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-37r2,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-37r2.pdf,NIST-SP-800-37r2.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-39,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-39,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-39.pdf,NIST-SP-800-39.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-53Ar5,OFFICIAL_PDF_DOWNLOAD_READY,https://csrc.nist.gov/pubs/sp/800/53/a/r5/final,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53Ar5.pdf,NIST-SP-800-53Ar5.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-53B,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-53B,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53B.pdf,NIST-SP-800-53B.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-53r5,OFFICIAL_PDF_DOWNLOAD_READY,https://csrc.nist.gov/pubs/sp/800/53/r5/upd1/final,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,NIST-SP-800-53r5.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-60v1r1,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-60v1r1,https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-60v1r1.pdf,NIST-SP-800-60v1r1.pdf,download_then_index_official_pdf,2026-07-18
NIST-SP-800-61r3,OFFICIAL_PDF_DOWNLOAD_READY,https://doi.org/10.6028/NIST.SP.800-61r3,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r3.pdf,NIST-SP-800-61r3.pdf,download_then_index_official_pdf,2026-07-18
